city,lat,cloudiness,country,date,humidity,lng,max_temp,wind_speed
Rikitea,-23.12,100,PF,1561849511,67,-134.97,70.32,12.73
Airai,-8.93,88,TL,1561849513,63,125.41,75.57,1.59
Vao,59.1,4,EE,1561849515,72,26.19,57.77,11.61
Cape Town,-33.93,0,ZA,1561849268,76,18.42,57.0,18.34
Longyearbyen,78.22,75,NO,1561849518,69,15.63,39.2,13.87
Malkangiri,18.35,100,IN,1561849519,97,81.9,73.9,3.4
Albany,42.65,20,US,1561849343,45,-73.75,84.2,13.87
Khatanga,71.98,99,RU,1561849522,59,102.47,60.06,17.81
Butaritari,3.07,83,KI,1561849524,67,172.79,83.35,1.14
Cabo San Lucas,22.89,5,MX,1561849283,14,-109.91,99.0,12.75
Ushuaia,-54.81,75,AR,1561849527,86,-68.31,33.8,12.75
Atuona,-9.8,88,PF,1561849528,74,-139.03,81.26,13.0
Kapaa,22.08,40,US,1561849529,70,-159.32,84.2,13.87
Busselton,-33.64,75,AU,1561849531,88,115.35,53.01,22.41
Faanui,-16.48,52,PF,1561849532,78,-151.75,75.88,24.07
Qaanaaq,77.48,0,GL,1561849535,47,-69.36,50.3,1.12
Tessalit,20.2,31,ML,1561849536,36,1.01,87.72,9.01
Dikson,73.51,33,RU,1561849537,89,80.55,34.8,8.46
Nador,35.17,17,MA,1561849538,73,-2.93,75.2,4.7
Jamestown,-33.21,16,AU,1561849431,88,138.6,45.69,10.6
Chacabuco,-34.64,95,AR,1561849542,91,-60.47,48.79,7.61
Terrace,54.52,75,CA,1561849544,64,-128.61,69.8,6.93
Tutoia,-2.76,0,BR,1561849545,78,-42.27,82.4,11.41
Marawi,8.0,100,PH,1561849546,87,124.29,77.0,5.99
Thompson,55.74,90,CA,1561849548,63,-97.86,66.2,6.93
Vardo,39.62,1,US,1561849549,45,-77.74,88.0,8.05
Narsaq,60.91,75,GL,1561849550,70,-46.05,48.2,5.82
Taltal,-25.41,0,CL,1561849551,75,-70.49,52.12,2.86
Sola,-3.17,45,TZ,1561849554,58,33.8,66.57,5.79
Mao,19.55,20,DO,1561849555,59,-71.08,89.6,16.11
Chumikan,54.72,10,RU,1561849557,46,135.31,71.85,4.56
Vaini,15.34,98,IN,1561849559,92,74.49,76.18,5.59
Mar del Plata,-46.43,39,AR,1561849560,63,-67.52,31.81,12.73
Ostrovnoy,68.05,100,RU,1561849562,56,39.51,46.97,6.04
Teguise,29.06,20,ES,1561849563,68,-13.56,71.6,13.87
Souillac,45.6,90,FR,1561849563,88,-0.6,69.01,8.05
Hermanus,-34.42,100,ZA,1561849561,76,19.24,55.99,13.67
Tuktoyaktuk,69.44,90,CA,1561849567,86,-133.03,39.2,9.17
Xuddur,4.12,34,SO,1561849568,75,43.89,72.62,21.63
Bluff,-23.58,4,AU,1561849561,54,149.07,69.97,5.68
Port Elizabeth,39.31,1,US,1561849563,100,-74.98,75.99,8.05
Fairbanks,64.84,20,US,1561849572,42,-147.72,88.0,9.84
Henties Bay,-22.12,86,NA,1561849573,95,14.28,54.0,1.99
Punta Arenas,-53.16,0,CL,1561849575,69,-70.91,35.6,6.93
Hasaki,35.73,75,JP,1561849576,100,140.83,70.0,4.7
Tiksi,71.64,100,RU,1561849334,80,128.87,40.94,9.06
Castro,-42.48,90,CL,1561849564,100,-73.76,39.2,4.7
